Hall,Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1
off,off,off,off,off,off,on,78,76,78,78,76,78,62,62,62,62,62,62
off,off,off,off,off,on,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,off,off,on,off,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,off,off,on,on,on,66,66,66,60,60,60,62,62,62,62,62,62
off,off,off,on,off,off,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,off,on,off,on,on,66,66,66,60,60,60,62,62,62,62,62,62
off,off,off,on,on,off,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,off,on,on,on,on,66,66,66,60,60,60,62,62,62,62,62,62
off,off,on,off,off,off,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,on,off,off,on,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,on,off,on,off,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,on,off,on,on,on,66,66,66,60,60,60,62,62,62,62,62,62
off,off,on,on,off,off,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,on,on,off,on,on,66,66,66,60,60,60,62,62,62,62,62,62
off,off,on,on,on,off,on,78,76,78,72,72,72,62,62,62,62,62,62
off,off,on,on,on,on,on,66,66,66,60,60,60,62,62,62,62,62,62
off,on,off,off,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,off,off,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,off,off,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,off,off,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,off,on,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,off,on,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,off,on,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,off,on,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,off,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,off,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,off,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,off,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,on,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,on,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,on,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
off,on,on,on,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
off,off,any,any,any,any,off,78,76,78,78,76,78,62,62,62,62,62,62
on,off,off,off,off,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,off,off,off,on,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,off,off,on,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,off,off,on,on,on,68,68,68,70,70,70,62,62,62,62,62,62
on,off,off,on,off,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,off,on,off,on,on,68,68,68,70,70,70,62,62,62,62,62,62
on,off,off,on,on,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,off,on,on,on,on,68,68,68,70,70,70,62,62,62,62,62,62
on,off,on,off,off,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,on,off,off,on,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,on,off,on,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,on,off,on,on,on,68,68,68,70,70,70,62,62,62,62,62,62
on,off,on,on,off,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,on,on,off,on,on,68,68,68,70,70,70,62,62,62,62,62,62
on,off,on,on,on,off,on,78,76,78,78,76,78,62,62,62,62,62,62
on,off,on,on,on,on,on,68,68,68,70,70,70,62,62,62,62,62,62
on,on,off,off,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,off,off,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,off,off,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,off,off,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,off,on,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,off,on,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,off,on,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,off,on,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,off,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,off,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,off,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,off,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,on,off,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,on,off,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,on,on,off,any,44,44,44,54,54,54,56,56,56,56,56,56
on,on,on,on,on,on,any,44,44,44,54,54,54,56,56,56,56,56,56
on,off,any,any,any,any,off,78,76,78,78,76,78,62,62,62,62,62,62
